Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),CO selectivity (%),Methanol selectivity (%),STY_CH3OH (g/kg·h) (LN scale),CO2 conversion efficiency (%),Unnamed: 17,Unnamed: 18,Unnamed: 19,DOI,Name,Year
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,200.0,20.0,3.0,9.655026193,25.25559416,69.9178,5.000624905,3.78665,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,220.0,20.0,3.0,9.655026193,48.73486062,50.411,5.273504354,6.91083,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,240.0,20.0,3.0,9.655026193,65.22752142,34.411,5.425365392,11.79304,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,260.0,20.0,3.0,9.655026193,80.58697373,19.2877,5.187276155,16.56247,,,,10.1016/j.cej.2017.02.010,,2017
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,280.0,20.0,3.0,9.655026193,91.56156877,9.20548,4.618909527,19.57262,,,,10.1016/j.cej.2017.02.010,,2017
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,200.0,20.0,3.0,9.655026193,29.50983181,70.5753,5.119254147,4.22707,,,,10.1016/j.cej.2017.02.010,,2017
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,220.0,20.0,3.0,9.655026193,45.36206901,54.5753,5.603409784,8.89127,,,,10.1016/j.cej.2017.02.010,,2017
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,240.0,20.0,3.0,9.655026193,62.84593237,37.0411,5.657275867,13.82783,,,,10.1016/j.cej.2017.02.010,,2017
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,260.0,20.0,3.0,9.655026193,76.26179789,23.4521,5.461204742,17.93799,,,,10.1016/j.cej.2017.02.010,,2017
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,280.0,20.0,3.0,9.655026193,90.12195139,10.5205,4.762303109,19.793,,,,10.1016/j.cej.2017.02.010,,2017
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,200.0,20.0,3.0,9.655026193,36.63171573,67.0685,4.820294598,3.291741,,,,10.1016/j.cej.2017.02.010,,2017
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,220.0,20.0,3.0,9.655026193,48.56552528,50.6301,5.397133275,7.79109,,,,10.1016/j.cej.2017.02.010,,2017
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,240.0,20.0,3.0,9.655026193,68.24969124,33.3151,5.464720024,12.67207,,,,10.1016/j.cej.2017.02.010,,2017
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,260.0,20.0,3.0,9.655026193,79.07828661,20.8219,5.333553051,17.77233,,,,10.1016/j.cej.2017.02.010,,2017
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,280.0,20.0,3.0,9.655026193,89.70782947,11.3973,4.884828128,20.67233,,,,10.1016/j.cej.2017.02.010,,2017
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,200.0,20.0,3.0,9.655026193,38.62893409,65.5342,4.673888766,2.90627,,,,10.1016/j.cej.2017.02.010,,2017
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,220.0,20.0,3.0,9.655026193,58.38922589,46.6849,5.088485549,6.19543,,,,10.1016/j.cej.2017.02.010,,2017
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,240.0,20.0,3.0,9.655026193,72.84982573,30.2466,5.244490374,11.18697,,,,10.1016/j.cej.2017.02.010,,2017
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,260.0,20.0,3.0,9.655026193,82.81515682,20.1644,5.270294976,17.22143,,,,10.1016/j.cej.2017.02.010,,2017
